penghasilan,usia,pekerjaan,kondisi_rumah,label
500000,60,0,0,1
700000,55,1,0,1
800000,50,0,0,1
900000,45,1,0,1
1000000,40,1,1,1
1200000,38,1,1,1
1300000,35,0,1,1
1500000,33,1,1,1
1600000,30,2,1,0
1800000,28,2,1,0
2000000,27,2,1,0
2200000,26,2,1,0
2500000,25,2,2,0
2700000,30,2,2,0
3000000,35,2,2,0
3200000,40,2,2,0
3500000,45,2,2,0
4000000,50,2,2,0
4500000,42,2,2,0
5000000,38,2,2,0
550000,62,0,0,1
650000,58,0,0,1
750000,52,1,0,1
850000,48,1,0,1
950000,46,1,1,1
1100000,44,1,1,1
1250000,39,0,1,1
1400000,36,1,1,1
1700000,32,2,1,0
1900000,29,2,1,0
2100000,28,2,1,0
2300000,27,2,1,0
2600000,26,2,2,0
2800000,31,2,2,0
3100000,34,2,2,0
3300000,41,2,2,0
3600000,46,2,2,0
4200000,49,2,2,0
4700000,43,2,2,0
5200000,39,2,2,0
600000,61,0,0,1
720000,57,1,0,1
820000,51,0,0,1
920000,47,1,0,1
1050000,43,1,1,1
1150000,41,1,1,1
1350000,37,0,1,1
1450000,34,1,1,1
1650000,31,2,1,0
1850000,29,2,1,0
2050000,28,2,1,0
2250000,27,2,1,0
2550000,26,2,2,0
2750000,30,2,2,0
3050000,33,2,2,0
3250000,42,2,2,0
3550000,44,2,2,0
4050000,48,2,2,0
4550000,41,2,2,0
5050000,37,2,2,0
580000,63,0,0,1
680000,59,0,0,1
780000,53,1,0,1
880000,49,1,0,1
980000,45,1,1,1
1080000,42,1,1,1
1280000,38,0,1,1
1380000,35,1,1,1
1680000,31,2,1,0
1880000,29,2,1,0
2080000,28,2,1,0
2280000,27,2,1,0
2580000,26,2,2,0
2780000,32,2,2,0
3080000,36,2,2,0
3280000,43,2,2,0
3580000,47,2,2,0
4080000,50,2,2,0
4580000,44,2,2,0
5080000,39,2,2,0
610000,60,0,0,1
710000,56,1,0,1
810000,52,0,0,1
910000,48,1,0,1
1010000,44,1,1,1
1110000,42,1,1,1
1310000,37,0,1,1
1410000,34,1,1,1
1610000,31,2,1,0
1810000,29,2,1,0
2010000,28,2,1,0
2210000,27,2,1,0
2510000,26,2,2,0
2710000,30,2,2,0
3010000,35,2,2,0
3210000,41,2,2,0
3510000,45,2,2,0
4010000,49,2,2,0
4510000,43,2,2,0
5010000,38,2,2,0
