penghasilan,usia,pekerjaan,kondisi_rumah,label
7800000,18,3,2,0
1200000,64,1,0,1
3000000,54,2,1,1
600000,31,0,2,1
3700000,62,2,2,0
3900000,45,2,2,1
500000,61,0,1,1
1400000,65,1,1,1
3100000,39,2,1,1
17200000,63,4,1,0
3000000,52,2,1,1
14200000,53,3,0,0
700000,66,0,1,0
1100000,41,1,1,1
33600000,27,4,1,0
11800000,61,3,2,0
9300000,51,3,2,0
4900000,34,2,2,0
2900000,37,1,0,1
1000000,42,0,1,1
13000000,30,3,2,0
16700000,26,3,1,0
43700000,51,4,1,0
6200000,42,2,1,1
2400000,48,1,0,1
400000,57,0,0,1
6300000,21,2,1,1
5800000,33,2,2,0
300000,60,0,2,1
47800000,38,4,0,1
2200000,17,1,2,1
2400000,65,1,0,1
900000,70,0,2,1
1200000,40,1,0,1
42100000,17,4,2,0
300000,40,0,1,1
2600000,22,1,0,1
18500000,65,4,2,0
2900000,47,1,2,1
8000000,55,2,1,0
7300000,63,2,2,0
2000000,59,1,2,1
5300000,24,2,0,1
800000,54,1,2,1
800000,21,1,2,1
1000000,19,1,1,1
1600000,59,1,1,1
2600000,53,1,1,1
7600000,43,2,0,1
16000000,39,3,1,0
17700000,60,4,2,0
100000,42,0,2,1
700000,29,0,0,1
2100000,28,1,1,1
1400000,68,0,2,1
18800000,70,3,0,0
27100000,27,4,1,0
2000000,20,1,0,1
4100000,67,2,1,1
19200000,59,3,2,0
1700000,30,1,0,1
2800000,64,2,1,1
17200000,49,3,2,0
3000000,28,2,0,1
11000000,42,3,0,0
11300000,54,3,2,1
1300000,59,0,2,1
1600000,30,1,2,1
1600000,42,1,0,1
2200000,37,1,0,1
19400000,23,3,0,0
4100000,25,2,1,0
1900000,35,1,0,1
7000000,36,2,2,0
48400000,50,4,0,0
4400000,59,2,0,0
1600000,24,1,0,1
1600000,35,1,2,1
1400000,60,1,2,1
5600000,33,2,0,1
7800000,34,2,0,1
21600000,57,4,1,0
6000000,62,2,1,0
200000,61,0,0,1
33900000,54,4,2,0
900000,36,1,1,0
