penghasilan,usia,pekerjaan,kondisi_rumah,label
7800000,18,3,2,0
1200000,64,1,0,1
2500000,54,2,1,1
600000,31,0,2,1
3200000,62,2,2,0
3400000,45,2,2,0
500000,61,0,1,1
1400000,65,1,1,1
2600000,39,2,1,1
17200000,63,4,1,0
2500000,52,2,1,0
14200000,53,3,0,0
700000,66,0,1,0
1100000,41,1,1,1
33600000,27,4,1,0
11800000,61,3,2,0
9300000,51,3,2,0
4400000,34,2,2,0
2900000,37,1,0,1
1000000,42,0,1,1
13000000,30,3,2,0
16700000,26,3,1,0
43700000,51,4,1,0
7700000,54,2,1,0
2400000,48,1,0,1
400000,57,0,0,1
5800000,21,2,1,0
5300000,33,2,2,0
300000,60,0,2,1
47800000,38,4,0,0
2200000,17,1,2,0
2400000,65,1,0,1
900000,70,0,2,1
1200000,40,1,0,1
42100000,75,4,0,0
2100000,24,2,1,0
30700000,32,4,0,0
7000000,22,3,2,0
400000,25,0,2,1
3000000,33,2,2,0
3300000,51,2,2,0
12900000,42,3,2,0
7700000,50,2,1,1
1000000,38,1,0,1
2600000,31,1,0,1
6500000,31,3,0,0
1000000,49,1,0,1
3300000,51,2,0,1
19700000,47,3,0,0
35800000,29,4,0,1
4200000,44,2,1,1
17700000,60,4,2,0
100000,42,0,2,1
700000,29,0,0,1
2100000,28,1,1,1
1400000,68,0,2,1
18800000,70,3,0,0
27100000,27,4,1,0
2000000,74,1,0,1
1200000,33,0,1,1
19200000,59,3,2,0
1700000,30,1,0,1
2300000,64,2,1,1
17200000,49,3,2,0
2500000,71,2,0,1
700000,42,0,0,1
11300000,54,3,2,1
1300000,59,0,2,1
1600000,30,1,2,1
1600000,42,1,0,1
2200000,37,1,0,1
19400000,23,3,0,0
3600000,25,2,1,0
1900000,35,1,0,1
6500000,36,2,2,0
48400000,50,4,0,0
3900000,59,2,0,1
1600000,24,1,0,1
1600000,35,1,2,1
1400000,60,1,2,1
5100000,33,2,0,1
7300000,34,2,0,1
21600000,57,4,1,1
5500000,62,2,1,0
200000,73,0,2,1
2200000,70,2,1,1
